id,family,intent,user_language,likely_search_rewrite,target_url
54,oxygen-brands,oxymed,Oxymed Mini oxygen machine review,Oxymed Mini 5 LPM review India,/oxygen-concentrators/oxymed-mini-5-lpm/
55,oxygen-brands,philips,Philips EverFlo still worth buying,should you buy Philips EverFlo India 2026,/guides/should-you-buy-philips-everflo-india/
56,oxygen-replacement,everflo-alternative,best replacement for Philips EverFlo,best Philips EverFlo alternative India,/guides/philips-everflo-replacement-india/
57,oxygen-replacement,everflo-discontinued,what to buy after EverFlo discontinued,Philips EverFlo discontinued India alternatives,/guides/philips-everflo-discontinued-india-alternatives/
58,oxygen-comparison,three-brand,Home Medix or Oxymed or Philips,Home Medix HM KV vs Oxymed Mini vs Philips EverFlo,/guides/home-medix-vs-oxymed-vs-philips-everflo-india/
59,oxygen-comparison,hmkv-everflo,HM KV compared with EverFlo,Home Medix HM KV vs Philips EverFlo India,/guides/philips-everflo-replacement-india/
60,oxygen-stock,new-vs-refurbished,how to know oxygen machine is new,new vs refurbished oxygen concentrator India serial hours,/guides/how-to-check-new-vs-refurbished-oxygen-concentrator/
61,oxygen-portable,best-portable,best portable oxygen machine,best portable oxygen concentrator India,/top-5/portable-oxygen-concentrators/
62,oxygen-portable,travel,oxygen machine for travel,portable oxygen concentrator for travel India,/oxygen-concentrators/portable/
63,oxygen-portable,continuous-flow,portable machine with continuous oxygen,best portable continuous flow oxygen concentrator India,/guides/best-portable-continuous-flow-oxygen-concentrators-india/
64,oxygen-portable,pulse-vs-continuous,is portable oxygen same as home machine,portable vs stationary oxygen concentrator India,/guides/portable-vs-stationary-concentrator/
65,oxygen-portable,flight,oxygen concentrator allowed on flight,FAA approved portable oxygen concentrator India travel,/clinical/faa-approved-pocs-for-international-travel/
66,oxygen-specialty,quiet,most silent oxygen machine,quietest oxygen concentrator India dB,/top-5/quietest-oxygen-concentrators/
67,oxygen-specialty,lightweight,lightest 5 litre oxygen machine,lightweight 5 LPM oxygen concentrator India,/guides/lightweight-5-lpm-concentrators-india/
68,oxygen-specialty,quiet-light,quiet lightweight oxygen concentrator,quiet and lightweight 5 LPM oxygen concentrator India,/guides/quiet-lightweight-5-lpm-oxygen-concentrators-india/
69,oxygen-specialty,power-backup,inverter for oxygen machine,oxygen concentrator UPS inverter backup India,/guides/oxygen-concentrator-power-backup-india/
70,oxygen-specialty,stabilizer,stabilizer size for oxygen machine,voltage stabilizer sizing oxygen concentrator India,/guides/voltage-stabiliser-sizing-concentrators-india/
71,cpap-general,best,best sleep apnea machine,best CPAP machine India 2026,/top-5/cpap-machines/
72,cpap-general,best-auto,best automatic CPAP machine,best auto CPAP APAP machine India,/top-5/cpap-machines/
73,cpap-general,home-use,which CPAP should I buy,CPAP machine buying guide India brands price,/cpap/brands/
74,cpap-general,brands,best CPAP company,best CPAP brands India ResMed BMC Home Medix,/cpap/brands/
75,cpap-general,indian,best Indian CPAP machine,best Indian CPAP machines brands,/guides/best-indian-cpap-machines-india/
76,cpap-price,budget,best CPAP below 30000,best auto CPAP under 30000 India,/guides/best-auto-cpap-under-30000-india/
77,cpap-price,under-20k,best cheap CPAP under 20000,best CPAP under 20000 India BMC GII,/guides/best-auto-cpap-under-30000-india/
78,cpap-price,humidifier,best CPAP with humidifier,best CPAP with humidifier under 30000 India,/guides/best-cpap-with-humidifier-under-30000-india/
79,cpap-price,cost,CPAP machine cost,CPAP price in India 2026,/cpap/price-india/
80,cpap-price,complete-kit,total CPAP setup cost,CPAP starter kit cost India mask humidifier tubing,/guides/cpap-starter-kit-cost-india/
81,cpap-rental,rent,CPAP machine on rent,CPAP rental India monthly rates,/cpap/rental/
82,cpap-rental,trial,can I try CPAP before buying,CPAP trial before buy India rental,/cpap/rental/
83,cpap-travel,best-travel,best small CPAP for travel,best travel CPAP machine India,/guides/best-travel-cpap-machines-india/
84,cpap-noise,quiet,most silent CPAP machine,quietest CPAP machines India dB,/guides/quietest-cpap-machines-india/
85,cpap-software,data,software to read CPAP SD card,CPAP report software Windows macOS Claro AirView iCode,/clinical/reading-cpap-report-airview-care-orchestrator-icode/
86,cpap-comparison,resmed-models,AirSense 10 or AirSense 11,ResMed AirSense 10 vs AirSense 11 India,/guides/resmed-airsense-10-vs-airsense-11-india/
87,cpap-alternative,resmed-alternative,cheaper alternative to AirSense 11,best ResMed AirSense 11 alternatives India,/guides/resmed-airsense-11-alternatives-india/
88,cpap-alternative,philips-alternative,replacement for DreamStation CPAP,best Philips DreamStation CPAP alternatives India,/guides/philips-dreamstation-cpap-alternatives-india/
89,cpap-mask,best,best mask for CPAP,best CPAP masks India nasal pillow full face,/guides/best-cpap-masks-india/
90,cpap-mask,mouth-breather,best mask if mouth opens,best CPAP mask for mouth breathers India,/guides/best-cpap-mask-mouth-breathers-india/
91,cpap-mask,side-sleeper,best CPAP mask for side sleeping,best CPAP mask for side sleepers India,/guides/best-cpap-mask-side-sleepers-india/
92,cpap-mask,high-pressure,mask that does not leak on BiPAP,best CPAP BiPAP mask high pressure India,/guides/best-cpap-bipap-masks-high-pressure-india/
93,cpap-mask,cost,CPAP mask replacement price,CPAP mask price replacement cost India,/guides/cpap-mask-price-replacement-cost-india/
94,bipap-general,best,best BiPAP machine,best BiPAP machines India 2026,/top-5/bipap-machines/
95,bipap-price,budget,best BiPAP below 50000,best BiPAP under 50000 India,/guides/best-bipap-under-50000-india/
96,bipap-use-case,copd,best BiPAP for COPD,best BiPAP machine for COPD India,/guides/best-bipap-machine-copd-india/
97,bipap-mode,st,best BiPAP with backup rate,best BiPAP ST machine India backup rate,/guides/bipap-st-devices-india/
98,bipap-mode,vaps,best AVAPS BiPAP for home,best home NIV VAPS AVAPS iVAPS machine India,/guides/best-home-niv-machines-india/
99,bipap-alternative,philips,replacement for Philips AVAPS,best Philips DreamStation BiPAP AVAPS alternatives India,/guides/philips-dreamstation-bipap-avaps-alternatives-india/
100,bipap-comparison,home-medix-resmed,HM BV 30 or Lumis 150,Home Medix HM BV 30 vs ResMed Lumis 150 India,/guides/home-medix-hm-bv-30-vs-resmed-lumis-150-india/
